Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;CategoryOrder;Sex;Age;Division;Event;AthleteKey;Name;Country;IsFrench;CategoryRaw
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;27;;FIGURES;FRA|1996|DAILLAND TANGUY;DAILLAND Tanguy;FRA;1;Open M (27)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;27;;SAUT;FRA|1996|DAILLAND TANGUY;DAILLAND Tanguy;FRA;1;Open M (27)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;27;;COMBINE;FRA|1996|DAILLAND TANGUY;DAILLAND Tanguy;FRA;1;Open M (27)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;33;;SLALOM;FRA|1990|DAILLAND THIBAUT;DAILLAND Thibaut;FRA;1;Open M (33)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;33;;FIGURES;FRA|1990|DAILLAND THIBAUT;DAILLAND Thibaut;FRA;1;Open M (33)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;28;;SLALOM;FRA|1995|DAUZONNE SACHA;DAUZONNE Sacha;FRA;1;Open M (28)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;31;;SLALOM;FRA|1992|DESCUNS SACHA;DESCUNS Sacha;FRA;1;Open M (31)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;23;;SLALOM;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;FRA;1;Open M (23)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;23;;FIGURES;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;FRA;1;Open M (23)
2023;23FRA018;Championnat de France 2023 - U21 + OPEN;U21_OPEN;1;OPEN;OPEN;30;M;23;;SAUT;FRA|2000|DUPLAN FRIBOURG LOUIS;DUPLAN FRIBOURG Louis;FRA;1;Open M (23)
