Year;CompetitionCode;ChampionshipBlock;PopulationGroup;Category;Sex;Event;ApprovedFrench;ClassifiedFrench;DifferenceClassifiedMinusApproved;ClassificationCoveragePercent;Status
2026;26FRA021;U21_OPEN;OPEN;OPEN;F;FIGURES;5;5;0;100.0;MATCH
2026;26FRA021;U21_OPEN;OPEN;OPEN;F;SAUT;3;3;0;100.0;MATCH
2026;26FRA021;U21_OPEN;OPEN;OPEN;F;SLALOM;6;5;-1;83.3;CLASSIFIED_LOWER
2026;26FRA021;U21_OPEN;OPEN;OPEN;M;COMBINE;1;1;0;100.0;MATCH
2026;26FRA021;U21_OPEN;OPEN;OPEN;M;FIGURES;1;1;0;100.0;MATCH
2026;26FRA021;U21_OPEN;OPEN;OPEN;M;SAUT;1;1;0;100.0;MATCH
2026;26FRA021;U21_OPEN;OPEN;OPEN;M;SLALOM;4;4;0;100.0;MATCH
2026;26FRA021;U21_OPEN;U21;U21;F;FIGURES;1;1;0;100.0;MATCH
2026;26FRA021;U21_OPEN;U21;U21;M;COMBINE;4;4;0;100.0;MATCH
2026;26FRA021;U21_OPEN;U21;U21;M;FIGURES;5;5;0;100.0;MATCH
2026;26FRA021;U21_OPEN;U21;U21;M;SAUT;4;4;0;100.0;MATCH
2026;26FRA021;U21_OPEN;U21;U21;M;SLALOM;7;7;0;100.0;MATCH
2026;26FRA041;SENIOR;SENIOR;35+;F;SLALOM;3;3;0;100.0;MATCH
2026;26FRA041;SENIOR;SENIOR;45+;F;SLALOM;1;1;0;100.0;MATCH
2026;26FRA041;SENIOR;SENIOR;45+;M;SLALOM;3;2;-1;66.7;CLASSIFIED_LOWER
2026;26FRA041;SENIOR;SENIOR;55+;M;FIGURES;1;1;0;100.0;MATCH
2026;26FRA041;SENIOR;SENIOR;55+;M;SLALOM;2;3;1;150.0;CLASSIFIED_HIGHER
2026;26FRA041;SENIOR;SENIOR;65+;M;SLALOM;3;3;0;100.0;MATCH
2026;26FRA041;SENIOR;SENIOR;75+;M;FIGURES;1;1;0;100.0;MATCH
2026;26FRA041;SENIOR;SENIOR;75+;M;SLALOM;1;1;0;100.0;MATCH
