Year;CompetitionCode;CompetitionName;ChampionshipBlock;TitleEligible;PopulationGroup;Category;Sex;Event;ClassifiedAll;ClassifiedFrench;ClassifiedForeign
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;JUNIOR;U17;M;COMBINE;4;4;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;JUNIOR;U17;M;FIGURES;5;5;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;JUNIOR;U17;M;SAUT;4;4;0
2025;25FRA016;Championnat de France RELEVES 2025;RELEVES;1;JUNIOR;U17;M;SLALOM;7;6;1
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;35+;F;COMBINE;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;35+;F;FIGURES;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;35+;F;SAUT;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;35+;F;SLALOM;3;3;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;35+;M;COMBINE;4;4;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;35+;M;FIGURES;4;4;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;35+;M;SAUT;4;4;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;35+;M;SLALOM;6;6;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;45+;F;COMBINE;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;45+;F;FIGURES;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;45+;F;SAUT;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;45+;F;SLALOM;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;45+;M;COMBINE;5;5;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;45+;M;FIGURES;7;6;1
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;45+;M;SAUT;6;5;1
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;45+;M;SLALOM;11;9;2
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;55+;F;SLALOM;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;55+;M;COMBINE;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;55+;M;FIGURES;2;2;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;55+;M;SAUT;1;1;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;55+;M;SLALOM;7;7;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;65+;F;SLALOM;2;0;2
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;65+;M;SLALOM;2;2;0
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;70+;M;SLALOM;3;2;1
2025;25FRA018;Championnat de France SENIOR 2025;SENIOR;1;SENIOR;75+;M;SLALOM;1;1;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;35+;M;SLALOM;1;1;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;55+;F;SLALOM;3;3;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;55+;M;SLALOM;1;1;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;0;SENIOR;65+;M;SLALOM;1;1;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;COMBINE;1;1;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;FIGURES;4;4;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;SAUT;3;3;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;1;OPEN;OPEN;M;SLALOM;5;5;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;FIGURES;4;4;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;SAUT;3;3;0
2025;25FRA206;Championnat de France U21 + OPEN;U21_OPEN;1;U21;U21;M;SLALOM;6;5;1
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U10;F;FIGURES;3;3;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U10;F;SLALOM;3;3;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U10;M;COMBINE;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U10;M;FIGURES;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U10;M;SAUT;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U10;M;SLALOM;2;2;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U12;F;COMBINE;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U12;F;FIGURES;3;3;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U12;F;SAUT;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U12;F;SLALOM;3;3;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U12;M;COMBINE;4;4;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U12;M;FIGURES;5;5;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U12;M;SAUT;4;4;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U12;M;SLALOM;6;6;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U14;F;COMBINE;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U14;F;FIGURES;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U14;F;SAUT;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U14;F;SLALOM;2;2;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U14;M;COMBINE;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U14;M;FIGURES;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U14;M;SAUT;1;1;0
2026;26FRA020;Championnat de France RELEVES 2026;RELEVES;1;RELEVES;U14;M;SLALOM;4;4;0
